0,1,2,3,4
26.0,85.0,33.74,23.92,1.0
27.0,85.0,33.74,23.92,1.0
27.0,86.0,33.74,23.92,1.0
31.0,86.0,33.74,23.92,1.0
32.0,86.0,33.74,23.92,1.0
32.0,86.0,33.74,23.92,3.0
36.0,87.0,33.74,23.92,3.0
37.0,87.0,33.74,23.92,3.0
34.0,87.0,33.74,23.92,3.0
33.0,87.0,33.74,23.92,3.0
33.0,88.0,33.74,23.92,3.0
32.0,88.0,33.74,23.92,3.0
33.0,88.0,33.74,23.92,3.0
31.0,89.0,33.74,23.92,3.0
30.0,89.0,33.74,23.92,3.0
34.0,90.0,33.74,23.92,3.0
31.0,90.0,33.74,23.92,3.0
31.0,91.0,33.74,23.92,2.0
35.0,90.0,33.74,23.92,2.0
34.0,90.0,33.74,23.92,2.0
32.0,90.0,33.74,23.92,2.0
32.0,90.0,33.74,23.92,2.0
33.0,90.0,33.74,23.92,2.0
33.0,90.0,33.74,23.92,2.0
44.0,89.0,33.74,23.92,2.0
45.0,90.0,33.74,23.92,2.0
44.0,89.0,33.74,23.92,2.0
41.0,88.0,33.74,23.92,2.0
40.0,88.0,33.75,23.92,2.0
40.0,88.0,33.75,23.92,2.0
36.0,87.0,33.75,23.92,2.0
29.0,87.0,33.75,23.92,2.0
27.0,85.0,33.75,23.92,2.0
24.0,85.0,33.75,23.92,2.0
28.0,84.0,33.75,23.92,1.0
36.0,86.0,33.75,23.92,1.0
48.0,87.0,33.75,23.92,1.0
50.0,87.0,33.75,23.92,1.0
47.0,88.0,33.75,23.92,1.0
51.0,88.0,33.75,23.92,1.0
49.0,88.0,33.75,23.92,3.0
45.0,88.0,33.75,23.92,3.0
44.0,88.0,33.75,23.93,3.0
43.0,89.0,33.75,23.93,3.0
43.0,88.0,33.75,23.93,3.0
40.0,88.0,33.75,23.93,3.0
39.0,88.0,33.75,23.93,5.0
39.0,87.0,33.75,23.93,5.0
40.0,87.0,33.75,23.93,5.0
39.0,87.0,33.75,23.93,5.0
43.0,87.0,33.75,23.93,5.0
41.0,87.0,33.75,23.93,5.0
43.0,87.0,33.75,23.93,8.0
39.0,86.0,33.75,23.93,8.0
40.0,87.0,33.75,23.93,8.0
39.0,87.0,33.75,23.93,8.0
41.0,86.0,33.75,23.93,8.0
35.0,87.0,33.75,23.93,8.0
35.0,87.0,33.75,23.93,4.0
39.0,87.0,33.75,23.93,4.0
35.0,85.0,33.75,23.93,4.0
31.0,85.0,33.75,23.93,4.0
30.0,81.0,33.75,23.93,4.0
27.0,82.0,33.75,23.93,4.0
26.0,82.0,33.75,23.93,3.0
28.0,82.0,33.75,23.93,3.0
26.0,82.0,33.75,23.93,3.0
26.0,83.0,33.75,23.93,3.0
26.0,82.0,33.75,23.93,3.0
24.0,82.0,33.75,23.93,3.0
25.0,82.0,33.75,23.93,3.0
27.0,81.0,33.75,23.93,3.0
29.0,81.0,33.75,23.93,3.0
30.0,81.0,33.75,23.93,3.0
28.0,82.0,33.75,23.93,3.0
30.0,82.0,33.75,23.93,3.0
29.0,83.0,33.75,23.93,6.0
31.0,83.0,33.75,23.93,6.0
30.0,83.0,33.75,23.93,6.0
29.0,83.0,33.75,23.93,6.0
30.0,83.0,33.75,23.93,6.0
31.0,84.0,33.75,23.93,6.0
30.0,83.0,33.75,23.93,4.0
30.0,83.0,33.75,23.93,4.0
32.0,83.0,33.75,23.93,4.0
